Identifier,Order,Longitude,Latitude
hualien,1,121.48406982421875,23.427968862308674
hualien,2,121.46484375,23.44812856964819
hualien,3,121.44012451171875,23.430488993882975
hualien,4,121.40716552734375,23.397723537981232
hualien,5,121.40716552734375,23.364949972551155
hualien,6,121.4208984375,23.354864168418864
hualien,7,121.39892578125,23.330907311336478
hualien,8,121.37832641601562,23.300639842070346
hualien,9,121.376953125,23.272888610946957
hualien,10,121.35360717773438,23.23251286297142
hualien,11,121.33438110351562,23.175713800385203
hualien,12,121.32064819335938,23.16940130401358
hualien,13,121.32339477539062,23.147936590271488
hualien,14,121.322021484375,23.11004929735674
hualien,15,121.26434326171875,23.097417822529177
hualien,16,121.26708984375,23.115101554603044
hualien,17,121.25198364257812,23.130257185291036
hualien,18,121.23687744140625,23.130257185291036
hualien,19,121.20941162109375,23.147936590271488
hualien,20,121.18743896484375,23.204747448136008
hualien,21,121.16683959960938,23.20727181524091
hualien,22,121.14898681640625,23.195911787809496
hualien,23,121.12564086914062,23.223679038929404
hualien,24,121.07894897460938,23.233774790113884
hualien,25,121.06246948242188,23.272888610946957
hualien,26,121.06109619140625,23.286764949641896
hualien,27,121.03500366210938,23.30316239434882
hualien,28,121.04873657226562,23.311990950585997
hualien,29,121.05010986328125,23.324602156920964
hualien,30,121.02264404296875,23.347299312167785
hualien,31,121.00204467773438,23.35738569133871
hualien,32,120.9869384765625,23.36368928897146
hualien,33,121.00616455078125,23.383858787954722
hualien,34,121.00479125976562,23.39646316613245
hualien,35,121.02813720703125,23.404025217270046
hualien,36,121.0308837890625,23.42040817940404
hualien,37,121.01165771484375,23.433009077420344
hualien,38,121.04461669921875,23.446868678039575
hualien,39,121.05560302734375,23.451908172375155
hualien,40,121.06109619140625,23.46324633155036
hualien,41,121.03775024414062,23.477102759187954
hualien,42,121.058349609375,23.49725496490269
hualien,43,121.06796264648438,23.51614485956392
hualien,44,121.08718872070312,23.51236709734913
hualien,45,121.09817504882812,23.52244088905899
hualien,46,121.13113403320312,23.51362636346272
hualien,47,121.14898681640625,23.52370005882413
hualien,48,121.14761352539062,23.55769308756573
hualien,49,121.16409301757812,23.565245900445678
hualien,50,121.15310668945312,23.57405696664267
hualien,51,121.15447998046875,23.589160275994917
hualien,52,121.17507934570312,23.58538461158714
hualien,53,121.19430541992188,23.600486617311272
hualien,54,121.20803833007812,23.596711278870252
hualien,55,121.22589111328125,23.62691094255687
hualien,56,121.23825073242188,23.660877242588437
hualien,57,121.234130859375,23.677228241815637
hualien,58,121.24237060546875,23.69357719517947
hualien,59,121.24099731445312,23.72752617195914
hualien,60,121.22726440429688,23.732554898466823
hualien,61,121.23001098632812,23.75015391301012
hualien,62,121.21078491210938,23.761466309427213
hualien,63,121.20529174804688,23.77403448561296
hualien,64,121.23275756835938,23.787858076846504
hualien,65,121.22726440429688,23.80293668165381
hualien,66,121.23825073242188,23.82680755942831
hualien,67,121.25473022460938,23.865745352647956
hualien,68,121.26708984375,23.87955917639489
hualien,69,121.26571655273438,23.907182400399357
hualien,70,121.27670288085938,23.90843786128921
hualien,71,121.27532958984375,23.96366606023668
hualien,72,121.27120971679688,23.97370501111374
hualien,73,121.26022338867188,23.977469416068715
hualien,74,121.26022338867188,23.99127129305265
hualien,75,121.2835693359375,24.036430724667373
hualien,76,121.28631591796875,24.055242472258577
hualien,77,121.30142211914062,24.0677821059493
hualien,78,121.3275146484375,24.08282804846844
hualien,79,121.31927490234375,24.092857695878717
hualien,80,121.32888793945312,24.111661168663584
hualien,81,121.31240844726562,24.1241952831143
hualien,82,121.2835693359375,24.139234599693726
hualien,83,121.29318237304688,24.17807797826449
hualien,84,121.3165283203125,24.184341932808433
hualien,85,121.3275146484375,24.19937416888192
hualien,86,121.35223388671875,24.200626775237968
hualien,87,121.34674072265625,24.221919199872975
hualien,88,121.35360717773438,24.24070367773352
hualien,89,121.37832641601562,24.25447719945061
hualien,90,121.38519287109375,24.27701247166408
hualien,91,121.39755249023438,24.29328546040337
hualien,92,121.40853881835938,24.310807884716866
hualien,93,121.42501831054688,24.310807884716866
hualien,94,121.43600463867188,24.333333159195092
hualien,95,121.45111083984375,24.36586259735842
hualien,96,121.48406982421875,24.348347784604407
hualien,97,121.50741577148438,24.339589469425167
hualien,98,121.55548095703125,24.339589469425167
hualien,99,121.56509399414062,24.320819611955194
hualien,100,121.607666015625,24.308304829404747
hualien,101,121.59393310546875,24.329579224758987
hualien,102,121.61453247070312,24.33458444595871
hualien,103,121.62002563476562,24.343343107244273
hualien,104,121.63238525390625,24.33458444595871
hualien,105,121.629638671875,24.347096633808512
hualien,106,121.62002563476562,24.36210962726063
hualien,107,121.63238525390625,24.37086638430394
hualien,108,121.64886474609375,24.35335226414775
hualien,109,121.6680908203125,24.35085004910508
hualien,110,121.6790771484375,24.337086982410497
hualien,111,121.69143676757812,24.3383382320977
hualien,112,121.7120361328125,24.330830548594744
hualien,113,121.77452087402344,24.310182125519685
hualien,114,121.73469543457031,24.246964554300924
hualien,115,121.71546936035156,24.24383415452921
hualien,116,121.70379638671875,24.221919199872975
hualien,117,121.66740417480469,24.201253073800753
hualien,118,121.6571044921875,24.17807797826449
hualien,119,121.66122436523438,24.157404747100884
hualien,120,121.66603088378906,24.14048779624122
hualien,121,121.6571044921875,24.12294192691311
hualien,122,121.640625,24.110407689707007
hualien,123,121.62551879882812,24.097872225210878
hualien,124,121.61453247070312,24.069036001915162
hualien,125,121.629638671875,24.031413793283296
hualien,126,121.64474487304688,24.015107413635413
hualien,127,121.64474487304688,23.998798966043484
hualien,128,121.62551879882812,23.977469416068715
hualien,129,121.61178588867188,23.96617587126503
hualien,130,121.607666015625,23.94233069390917
hualien,131,121.60903930664062,23.912204170785063
hualien,132,121.6021728515625,23.85946585466279
hualien,133,121.5692138671875,23.794141041499504
hualien,134,121.5692138671875,23.747639913652666
hualien,135,121.55136108398438,23.711181471130107
hualien,136,121.53350830078125,23.628169110847946
hualien,137,121.52252197265625,23.572798279092712
hualien,138,121.5087890625,23.52244088905899
hualien,139,121.5087890625,23.48340065432564
hualien,140,121.49505615234375,23.430488993882975
