Index,Identifier,Order,Longitude,Latitude
19,yunlin,1,120.24261474609375,23.841881641039386
19,yunlin,2,120.31814575195312,23.819269861727747
19,yunlin,3,120.37033081054688,23.82680755942831
19,yunlin,4,120.41290283203125,23.82555130688476
19,yunlin,5,120.43075561523438,23.83057624407453
19,yunlin,6,120.46783447265625,23.810475327766568
19,yunlin,7,120.56808471679688,23.794141041499504
19,yunlin,8,120.63674926757812,23.785344805941214
19,yunlin,9,120.65872192382812,23.756438699049493
19,yunlin,10,120.65322875976562,23.73506918895935
19,yunlin,11,120.63812255859375,23.73004055946545
19,yunlin,12,120.64361572265625,23.697349739920774
19,yunlin,13,120.64773559570312,23.670939638014293
19,yunlin,14,120.6298828125,23.634459770994653
19,yunlin,15,120.6353759765625,23.618103426136084
19,yunlin,16,120.64910888671875,23.62942726705243
19,yunlin,17,120.65597534179688,23.613070293780517
19,yunlin,18,120.68618774414062,23.609295317664763
19,yunlin,19,120.69305419921875,23.623136365169024
19,yunlin,20,120.7122802734375,23.62061991981985
19,yunlin,21,120.7177734375,23.62942726705243
19,yunlin,22,120.73287963867188,23.61558688412167
19,yunlin,23,120.7232666015625,23.60426184707018
19,yunlin,24,120.7342529296875,23.584126032644118
19,yunlin,25,120.72738647460938,23.570280867798363
19,yunlin,26,120.69168090820312,23.57405696664267
19,yunlin,27,120.67657470703125,23.570280867798363
19,yunlin,28,120.6683349609375,23.579091596182877
19,yunlin,29,120.65185546875,23.57153957947779
19,yunlin,30,120.640869140625,23.577832956897748
19,yunlin,31,120.64910888671875,23.59167732524408
19,yunlin,32,120.618896484375,23.59167732524408
19,yunlin,33,120.60791015625,23.581608838550334
19,yunlin,34,120.58868408203125,23.58538461158714
19,yunlin,35,120.5694580078125,23.58538461158714
19,yunlin,36,120.5364990234375,23.596711278870252
19,yunlin,37,120.50765991210938,23.62061991981985
19,yunlin,38,120.5035400390625,23.636975950433467
19,yunlin,39,120.44998168945312,23.62942726705243
19,yunlin,40,120.4266357421875,23.61684516116995
19,yunlin,41,120.4046630859375,23.62942726705243
19,yunlin,42,120.37857055664062,23.61055365511656
19,yunlin,43,120.36483764648438,23.606778606523967
19,yunlin,44,120.34835815429688,23.594194326203837
19,yunlin,45,120.33050537109375,23.592935831760375
19,yunlin,46,120.333251953125,23.579091596182877
19,yunlin,47,120.31814575195312,23.572798279092712
19,yunlin,48,120.30715942382812,23.576574305545684
19,yunlin,49,120.30990600585938,23.561469548278183
19,yunlin,50,120.289306640625,23.562728344395214
19,yunlin,51,120.29067993164062,23.548880923858746
19,yunlin,52,120.27694702148438,23.54258615953223
19,yunlin,53,120.27008056640625,23.527477495842927
19,yunlin,54,120.25634765625,23.546363054291582
19,yunlin,55,120.23849487304688,23.538809156294388
19,yunlin,56,120.24673461914062,23.511107819194187
19,yunlin,57,120.22201538085938,23.50229253499364
19,yunlin,58,120.19729614257812,23.51614485956392
19,yunlin,59,120.179443359375,23.511107819194187
19,yunlin,60,120.14785766601562,23.52244088905899
19,yunlin,61,120.1409912109375,23.562728344395214
19,yunlin,62,120.1409912109375,23.62942726705243
19,yunlin,63,120.13961791992188,23.644524198573688
19,yunlin,64,120.18081665039062,23.70112217564033
19,yunlin,65,120.15335083007812,23.71998271844965
19,yunlin,66,120.16571044921875,23.777804701696358
19,yunlin,67,120.18356323242188,23.812988112549913
19,yunlin,68,120.2069091796875,23.823038765308347
19,yunlin,69,120.20965576171875,23.83936941577735
