Index,Identifier,Order,Longitude,Latitude
15,tainan,1,120.11764526367188,23.340364481845015
15,tainan,2,120.14923095703125,23.32081892065709
15,tainan,3,120.15129089355469,23.31072976415014
15,tainan,4,120.16433715820312,23.3100991664464
15,tainan,5,120.18013000488281,23.289918461305074
15,tainan,6,120.18905639648438,23.289918461305074
15,tainan,7,120.1849365234375,23.29811724195951
15,tainan,8,120.18836975097656,23.302531760763703
15,tainan,9,120.20484924316406,23.29117984505153
15,tainan,10,120.21995544433594,23.29496392456275
15,tainan,11,120.23780822753906,23.325863211741158
15,tainan,12,120.245361328125,23.32712425459329
15,tainan,13,120.25840759277344,23.331537810320267
15,tainan,14,120.267333984375,23.34288628023853
15,tainan,15,120.25909423828125,23.3466688880169
15,tainan,16,120.26939392089844,23.354233780201557
15,tainan,17,120.27626037597656,23.350451388009045
15,tainan,18,120.28587341308594,23.34982097882942
15,tainan,19,120.28244018554688,23.36053752759794
15,tainan,20,120.29411315917969,23.375035009742795
15,tainan,21,120.31059265136719,23.376925868813533
15,tainan,22,120.31402587890625,23.388900683144275
15,tainan,23,120.32432556152344,23.384489035346103
15,tainan,24,120.33187866210938,23.386379759533256
15,tainan,25,120.35110473632812,23.404655368701555
15,tainan,26,120.37513732910156,23.40276490540795
15,tainan,27,120.40809631347656,23.41221695188021
15,tainan,28,120.4156494140625,23.410956718019325
15,tainan,29,120.41839599609375,23.403395062838825
15,tainan,30,120.42388916015625,23.407175944429348
15,tainan,31,120.43075561523438,23.407806080861413
15,tainan,32,120.43487548828125,23.41221695188021
15,tainan,33,120.44517517089844,23.41284706430993
15,tainan,34,120.46440124511719,23.400874415118086
15,tainan,35,120.47401428222656,23.397093353556347
15,tainan,36,120.47882080078125,23.388270456738695
15,tainan,37,120.49118041992188,23.39520278228782
15,tainan,38,120.49736022949219,23.392681978612984
15,tainan,39,120.49736022949219,23.384489035346103
15,tainan,40,120.48294067382812,23.379446972282327
15,tainan,41,120.48431396484375,23.368731951387517
15,tainan,42,120.49118041992188,23.37251382235947
15,tainan,43,120.50010681152344,23.36810162907169
15,tainan,44,120.50697326660156,23.36810162907169
15,tainan,45,120.51246643066406,23.361167885863743
15,tainan,46,120.51040649414062,23.353603388989466
15,tainan,47,120.50422668457031,23.354864168418864
15,tainan,48,120.50422668457031,23.3466688880169
15,tainan,49,120.51109313964844,23.344147161473412
15,tainan,50,120.52825927734375,23.33973402476286
15,tainan,51,120.53993225097656,23.329015796430344
15,tainan,52,120.52413940429688,23.311990950585997
15,tainan,53,120.52688598632812,23.29307189825664
15,tainan,54,120.52276611328125,23.28613423834454
15,tainan,55,120.52207946777344,23.269103904021517
15,tainan,56,120.53237915039062,23.255225725583074
15,tainan,57,120.52619934082031,23.241346102386135
15,tainan,58,120.51864624023438,23.240715176105464
15,tainan,59,120.52619934082031,23.23125092389779
15,tainan,60,120.54611206054688,23.224941049579556
15,tainan,61,120.55778503417969,23.216106724564785
15,tainan,62,120.56465148925781,23.21989293541487
15,tainan,63,120.57701110839844,23.215475678988646
15,tainan,64,120.58731079101562,23.22620304830155
15,tainan,65,120.59280395507812,23.238191441147336
15,tainan,66,120.59898376464844,23.22935799291749
15,tainan,67,120.6134033203125,23.221786000589923
15,tainan,68,120.62713623046875,23.228096024018118
15,tainan,69,120.64361572265625,23.228096024018118
15,tainan,70,120.65116882324219,23.22620304830155
15,tainan,71,120.65597534179688,23.220523960121522
15,tainan,72,120.64910888671875,23.207902899566566
15,tainan,73,120.63674926757812,23.190231412101955
