Identifier,Order,Longitude,Latitude
keelung,1,121.70757293701172,25.17511653162176
keelung,2,121.69967651367188,25.17014505150313
keelung,3,121.68937683105469,25.166105574636546
keelung,4,121.6787338256836,25.158026219484242
keelung,5,121.66362762451172,25.153986341229828
keelung,6,121.64886474609375,25.145595397459516
keelung,7,121.63101196289062,25.14373066494328
keelung,8,121.62620544433594,25.139068709030795
keelung,9,121.63307189941406,25.130365915065003
keelung,10,121.640625,25.130365915065003
keelung,11,121.64543151855469,25.122284193978963
keelung,12,121.6464614868164,25.111404109921363
keelung,13,121.6512680053711,25.105808261018485
keelung,14,121.64852142333984,25.100212156025712
keelung,15,121.66053771972656,25.090573819461003
keelung,16,121.673583984375,25.083111360030934
keelung,17,121.68113708496094,25.08870824726235
keelung,18,121.6794204711914,25.078136134310142
keelung,19,121.70448303222656,25.066319162978562
keelung,20,121.71306610107422,25.067252123221422
keelung,21,121.73229217529297,25.053879014186204
keelung,22,121.74739837646484,25.054501051619468
keelung,23,121.75941467285156,25.059788242337348
keelung,24,121.76456451416016,25.057300181001935
keelung,25,121.77520751953125,25.070361939378017
keelung,26,121.76765441894531,25.079069004534094
keelung,27,121.761474609375,25.07969091406779
keelung,28,121.75666809082031,25.10798445491342
keelung,29,121.75117492675781,25.107362689181308
keelung,30,121.74945831298828,25.11078236157986
keelung,31,121.76765441894531,25.112647597117945
keelung,32,121.7728042602539,25.120729955557753
keelung,33,121.783447265625,25.11668884314787
keelung,34,121.78550720214844,25.119486550587368
keelung,35,121.79203033447266,25.111404109921363
keelung,36,121.79786682128906,25.116067121686175
keelung,37,121.79821014404297,25.119486550587368
keelung,38,121.7940902709961,25.125703448915772
keelung,39,121.80267333984375,25.12197334787625
keelung,40,121.80473327636719,25.12601428552865
keelung,41,121.80473327636719,25.133474126962053
keelung,42,121.80335998535156,25.140311914680755
keelung,43,121.80679321289062,25.14808166316731
keelung,44,121.7940902709961,25.147460101488445
keelung,45,121.78138732910156,25.151189424078176
keelung,46,121.77417755126953,25.152743274854952
keelung,47,121.77314758300781,25.156472435986753
keelung,48,121.78413391113281,25.1592692320335
keelung,49,121.76353454589844,25.163619676207755
keelung,50,121.75701141357422,25.161133727108375
keelung,51,121.76216125488281,25.151810966763254
keelung,52,121.7673110961914,25.15460786966824
keelung,53,121.76490783691406,25.150567878227317
keelung,54,121.7611312866211,25.14808166316731
keelung,55,121.75804138183594,25.14186590394128
keelung,56,121.74602508544922,25.13596063952542
keelung,57,121.74190521240234,25.130676739814184
keelung,58,121.7391586303711,25.133163309331895
keelung,59,121.74430847167969,25.13844710145881
keelung,60,121.73778533935547,25.14373066494328
keelung,61,121.74602508544922,25.14000111445503
keelung,62,121.75392150878906,25.14652775303499
keelung,63,121.7508316040039,25.157093951760473
keelung,64,121.73709869384766,25.159890733558385
keelung,65,121.72679901123047,25.164551894056714
keelung,66,121.7116928100586,25.16424115556545
keelung,67,121.70825958251953,25.166105574636546
keelung,68,121.70757293701172,25.17511653162176
