Index,Identifier,Order,Longitude,Latitude
0,chiayi,1,120.14785766601562,23.51929291194911
0,chiayi,2,120.16227722167969,23.515515240054526
0,chiayi,3,120.17051696777344,23.517404089550542
0,chiayi,4,120.18081665039062,23.50921887938537
0,chiayi,5,120.1959228515625,23.514255992003854
0,chiayi,6,120.21995544433594,23.50544091849867
0,chiayi,7,120.234375,23.506700250833525
0,chiayi,8,120.24742126464844,23.51362636346272
0,chiayi,9,120.24261474609375,23.54006816942602
0,chiayi,10,120.245361328125,23.54510410142579
0,chiayi,11,120.25497436523438,23.545733579365475
0,chiayi,12,120.26596069335938,23.530625277200954
0,chiayi,13,120.27351379394531,23.530625277200954
0,chiayi,14,120.2783203125,23.543845136505844
0,chiayi,15,120.29067993164062,23.54951038371594
0,chiayi,16,120.28861999511719,23.55895191986295
0,chiayi,17,120.29823303222656,23.56461651595618
0,chiayi,18,120.30990600585938,23.563987128451217
0,chiayi,19,120.3057861328125,23.57153957947779
0,chiayi,20,120.30990600585938,23.576574305545684
0,chiayi,21,120.32089233398438,23.57405696664267
0,chiayi,22,120.33256530761719,23.579091596182877
0,chiayi,23,120.33393859863281,23.591048067458757
0,chiayi,24,120.35316467285156,23.593565080491235
0,chiayi,25,120.3662109375,23.601745039307357
0,chiayi,26,120.36689758300781,23.606778606523967
0,chiayi,27,120.38131713867188,23.611811980488632
0,chiayi,28,120.39779663085938,23.627540028213215
0,chiayi,29,120.4046630859375,23.63194354319966
0,chiayi,30,120.4156494140625,23.621878148536513
0,chiayi,31,120.421142578125,23.625023667458986
0,chiayi,32,120.42594909667969,23.618103426136084
0,chiayi,33,120.4376220703125,23.623765468953586
0,chiayi,34,120.45066833496094,23.63194354319966
0,chiayi,35,120.45478820800781,23.625023667458986
0,chiayi,36,120.48912048339844,23.63320166314143
0,chiayi,37,120.50491333007812,23.63320166314143
0,chiayi,38,120.50765991210938,23.625652762179705
0,chiayi,39,120.52619934082031,23.603632649658298
0,chiayi,40,120.5364990234375,23.59482356889809
0,chiayi,41,120.552978515625,23.593565080491235
0,chiayi,42,120.56053161621094,23.587901733263042
0,chiayi,43,120.57151794433594,23.587901733263042
0,chiayi,44,120.57769775390625,23.582238141599596
0,chiayi,45,120.59623718261719,23.584755323624336
0,chiayi,46,120.62095642089844,23.584126032644118
0,chiayi,47,120.62576293945312,23.591048067458757
0,chiayi,48,120.64773559570312,23.593565080491235
0,chiayi,49,120.64704895019531,23.58538461158714
0,chiayi,50,120.64430236816406,23.57720363273005
0,chiayi,51,120.65185546875,23.572798279092712
0,chiayi,52,120.66352844238281,23.576574305545684
0,chiayi,53,120.67176818847656,23.578462278048715
0,chiayi,54,120.67657470703125,23.569651507434628
0,chiayi,55,120.68962097167969,23.575315642127155
0,chiayi,56,120.70266723632812,23.574686305893128
0,chiayi,57,120.73562622070312,23.570910225146108
0,chiayi,58,120.73219299316406,23.580350223400576
0,chiayi,59,120.73356628417969,23.592306580011297
0,chiayi,60,120.72463989257812,23.60489104146276
0,chiayi,61,120.73150634765625,23.611811980488632
0,chiayi,62,120.73768615722656,23.60992448790059
0,chiayi,63,120.74867248535156,23.61244113864463
0,chiayi,64,120.75759887695312,23.61432859499168
0,chiayi,65,120.77476501464844,23.60489104146276
0,chiayi,66,120.78300476074219,23.600486617311272
0,chiayi,67,120.79948425292969,23.596711278870252
0,chiayi,68,120.81459045410156,23.600486617311272
0,chiayi,69,120.82077026367188,23.589789542834126
0,chiayi,70,120.82832336425781,23.58538461158714
0,chiayi,71,120.82077026367188,23.582238141599596
0,chiayi,72,120.82077026367188,23.572168930793346
0,chiayi,73,120.81596374511719,23.55580481650931
0,chiayi,74,120.80909729003906,23.543845136505844
0,chiayi,75,120.81527709960938,23.526218362216596
0,chiayi,76,120.82420349121094,23.50544091849867
0,chiayi,77,120.82695007324219,23.485919728174252
0,chiayi,78,120.83793640136719,23.470174727244277
0,chiayi,79,120.85922241210938,23.473953698857272
0,chiayi,80,120.87913513183594,23.46639564740807
0,chiayi,81,120.88874816894531,23.475843144075885
0,chiayi,82,120.92033386230469,23.475213332009684
0,chiayi,83,120.94024658203125,23.465765790247946
0,chiayi,84,120.93406677246094,23.458207269894125
0,chiayi,85,120.92720031738281,23.455057758693613
0,chiayi,86,120.91964721679688,23.459467053339576
0,chiayi,87,120.90179443359375,23.452538095647892
0,chiayi,88,120.88600158691406,23.436159114284166
0,chiayi,89,120.86471557617188,23.426078732106124
0,chiayi,90,120.849609375,23.419778102985287
0,chiayi,91,120.849609375,23.41032659658828
0,chiayi,92,120.83724975585938,23.39520278228782
0,chiayi,93,120.82420349121094,23.3706229003574
0,chiayi,94,120.80360412597656,23.368731951387517
0,chiayi,95,120.78437805175781,23.343516722352845
0,chiayi,96,120.75828552246094,23.344147161473412
0,chiayi,97,120.75897216796875,23.334690260349362
0,chiayi,98,120.75210571289062,23.329015796430344
0,chiayi,99,120.74935913085938,23.32081892065709
0,chiayi,100,120.74043273925781,23.32334109013322
0,chiayi,101,120.73905944824219,23.317666141503327
0,chiayi,102,120.73013305664062,23.311360358863357
0,chiayi,103,120.73150634765625,23.305684898790933
0,chiayi,104,120.7122802734375,23.308207355392696
0,chiayi,105,120.70335388183594,23.300639842070346
0,chiayi,106,120.70335388183594,23.29117984505153
0,chiayi,107,120.69923400878906,23.28487280678564
0,chiayi,108,120.67726135253906,23.289918461305074
0,chiayi,109,120.6573486328125,23.297486584458458
0,chiayi,110,120.65322875976562,23.29181053244191
0,chiayi,111,120.64773559570312,23.29496392456275
0,chiayi,112,120.64224243164062,23.293702576680868
0,chiayi,113,120.64430236816406,23.28550352405911
0,chiayi,114,120.64155578613281,23.276042451248856
0,chiayi,115,120.63743591308594,23.269103904021517
0,chiayi,116,120.64361572265625,23.2634266420549
0,chiayi,117,120.64361572265625,23.25711828954945
0,chiayi,118,120.65116882324219,23.240715176105464
0,chiayi,119,120.65116882324219,23.22935799291749
0,chiayi,120,120.65460205078125,23.221786000589923
0,chiayi,121,120.63674926757812,23.228727009959012
0,chiayi,122,120.62644958496094,23.23061994988693
0,chiayi,123,120.61271667480469,23.224310045745476
0,chiayi,124,120.59761047363281,23.22935799291749
0,chiayi,125,120.59417724609375,23.241346102386135
0,chiayi,126,120.58662414550781,23.227465035094873
0,chiayi,127,120.57838439941406,23.215475678988646
0,chiayi,128,120.56465148925781,23.22304802913141
0,chiayi,129,120.55709838867188,23.216106724564785
0,chiayi,130,120.54473876953125,23.228727009959012
0,chiayi,131,120.52825927734375,23.23188189492597
0,chiayi,132,120.51864624023438,23.240084246841175
0,chiayi,133,120.53031921386719,23.247024304639776
0,chiayi,134,120.531005859375,23.255225725583074
0,chiayi,135,120.52070617675781,23.272257833925977
0,chiayi,136,120.52207946777344,23.288657065604763
0,chiayi,137,120.52619934082031,23.295594594020283
0,chiayi,138,120.52207946777344,23.31325212505928
0,chiayi,139,120.53993225097656,23.32712425459329
0,chiayi,140,120.53375244140625,23.33595121941127
0,chiayi,141,120.51383972167969,23.344147161473412
0,chiayi,142,120.50491333007812,23.3466688880169
0,chiayi,143,120.5035400390625,23.354864168418864
0,chiayi,144,120.51109313964844,23.354864168418864
0,chiayi,145,120.51246643066406,23.36242859340884
0,chiayi,146,120.50285339355469,23.36999258703044
0,chiayi,147,120.487060546875,23.371253210687907
0,chiayi,148,120.48362731933594,23.37629558545358
0,chiayi,149,120.48500061035156,23.38133776841261
0,chiayi,150,120.498046875,23.386379759533256
