Index,Identifier,Order,Longitude,Latitude
14,taichung,1,120.62026977539062,24.439648368036845
14,taichung,2,120.6463623046875,24.424644585755388
14,taichung,3,120.65185546875,24.405887348530975
14,taichung,4,120.66970825195312,24.39713301739105
14,taichung,5,120.70266723632812,24.35960758535081
14,taichung,6,120.73013305664062,24.352101162808907
14,taichung,7,120.772705078125,24.320819611955194
14,taichung,8,120.8056640625,24.314562375064085
14,taichung,9,120.8331298828125,24.28953034041135
14,taichung,10,120.8770751953125,24.29328546040337
14,taichung,11,120.91827392578125,24.29829211426012
14,taichung,12,120.91827392578125,24.335835720364003
14,taichung,13,120.94436645507812,24.34459429512797
14,taichung,14,121.00341796875,24.333333159195092
14,taichung,15,121.03500366210938,24.29954374686411
14,taichung,16,121.05422973632812,24.29829211426012
14,taichung,17,121.08169555664062,24.327076540018634
14,taichung,18,121.09268188476562,24.319568189281284
14,taichung,19,121.11328125,24.330830548594744
14,taichung,20,121.146240234375,24.36336062966262
14,taichung,21,121.1737060546875,24.367113562651262
14,taichung,22,121.19842529296875,24.393380975448302
14,taichung,23,121.20941162109375,24.39713301739105
14,taichung,24,121.2176513671875,24.377120839610388
14,taichung,25,121.24099731445312,24.405887348530975
14,taichung,26,121.2506103515625,24.425894969115173
14,taichung,27,121.27532958984375,24.430896378620496
14,taichung,28,121.30691528320312,24.433397009006253
14,taichung,29,121.3165283203125,24.442148824865637
14,taichung,30,121.3275146484375,24.433397009006253
14,taichung,31,121.32476806640625,24.404636766948936
14,taichung,32,121.33575439453125,24.392130270038873
14,taichung,33,121.35360717773438,24.394631668477125
14,taichung,34,121.36871337890625,24.387127324604496
14,taichung,35,121.36734008789062,24.36836451557345
14,taichung,36,121.38107299804688,24.36836451557345
14,taichung,37,121.39480590820312,24.377120839610388
14,taichung,38,121.41952514648438,24.380873364304616
14,taichung,39,121.4373779296875,24.38462577761597
14,taichung,40,121.4483642578125,24.37086638430394
14,taichung,41,121.4373779296875,24.352101162808907
14,taichung,42,121.43463134765625,24.327076540018634
14,taichung,43,121.4208984375,24.307053283225915
14,taichung,44,121.39892578125,24.305801724699204
14,taichung,45,121.38381958007812,24.285775109348336
14,taichung,46,121.38519287109375,24.25447719945061
14,taichung,47,121.35086059570312,24.248216692641236
14,taichung,48,121.34262084960938,24.22442395705756
14,taichung,49,121.30691528320312,24.23569475466912
14,taichung,50,121.28082275390625,24.228181000459923
14,taichung,51,121.25885009765625,24.24571240363559
14,taichung,52,121.24237060546875,24.21941439342644
14,taichung,53,121.21490478515625,24.230685634472902
14,taichung,54,121.18194580078125,24.211899678553245
14,taichung,55,121.16409301757812,24.226928664976374
14,taichung,56,121.15036010742188,24.21315216181408
14,taichung,57,121.13662719726562,24.195616275974363
14,taichung,58,121.09817504882812,24.200626775237968
14,taichung,59,121.08169555664062,24.17306659324866
14,taichung,60,121.05422973632812,24.158031257825638
14,taichung,61,121.03500366210938,24.15301908599486
14,taichung,62,121.01577758789062,24.158031257825638
14,taichung,63,120.99517822265625,24.12168855843423
14,taichung,64,120.96084594726562,24.12168855843423
14,taichung,65,120.94573974609375,24.127955278046894
14,taichung,66,120.92376708984375,24.10664717920179
14,taichung,67,120.8935546875,24.115421531891116
14,taichung,68,120.882568359375,24.08533553390463
14,taichung,69,120.87844848632812,24.102886558253427
14,taichung,70,120.87020874023438,24.119181784645278
14,taichung,71,120.85922241210938,24.116674961751293
14,taichung,72,120.849609375,24.12544862703731
14,taichung,73,120.83587646484375,24.115421531891116
14,taichung,74,120.82763671875,24.07405146320327
14,taichung,75,120.80978393554688,24.062766399524946
14,taichung,76,120.78231811523438,24.020124981522915
14,taichung,77,120.7452392578125,24.000053535406128
14,taichung,78,120.7122802734375,24.00632619875113
14,taichung,79,120.673828125,24.015107413635413
14,taichung,80,120.64910888671875,24.033922283462488
14,taichung,81,120.640869140625,24.022633692038916
14,taichung,82,120.62576293945312,24.033922283462488
14,taichung,83,120.62026977539062,24.080320513982873
14,taichung,84,120.60791015625,24.102886558253427
14,taichung,85,120.56259155273438,24.111661168663584
14,taichung,86,120.51864624023438,24.132968432706836
14,taichung,87,120.51864624023438,24.17306659324866
14,taichung,88,120.49118041992188,24.198121550218996
14,taichung,89,120.45822143554688,24.21690953772175
14,taichung,90,120.47607421875,24.243208065331757
14,taichung,91,120.51864624023438,24.303298570604056
14,taichung,92,120.52413940429688,24.314562375064085
14,taichung,93,120.54473876953125,24.307053283225915
14,taichung,94,120.5584716796875,24.340840694392387
14,taichung,95,120.59005737304688,24.393380975448302
